Temperature,A1,B1,C1,D1,E1,F1,G1,Manuel
81,975.8368129,280.2068721,18.25672627,14.78831611,7.61403499,2.31378821,3.513611168,85.64185515
81.5,1059.468211,294.6340738,18.2190923,13.32481457,5.902181223,2.263741252,3.226056316,86.56028691
82,1123.235735,312.458448,18.77513644,12.20704196,3.819793819,1.906108685,2.336360675,85.99369245
82.5,1143.548847,329.6181969,18.44262657,12.20415866,1.778676322,1.571876378,2.390171147,85.89968836
83,1111.589773,342.7085291,17.92093535,11.57529485,-0.902366702,2.255889504,2.801497955,85.87085266
83.5,1049.743801,348.6751348,17.6057847,10.22315508,-3.671009121,2.878671404,2.663622511,83.89587963
84,972.4119497,343.3780135,16.93298644,9.971817415,-5.906321224,2.572974524,2.946398387,80.55481112
84.5,889.4135654,329.1538218,16.69433433,9.574978364,-7.576294734,2.87281619,3.517515464,77.80254238
85,822.3464438,313.3268799,16.78957238,8.746734411,-8.498297777,3.133390423,3.072055206,73.86042465
85.5,772.0270426,296.5769836,16.61762708,7.999314344,-8.983087764,2.148961883,2.311741239,68.44391498
86,714.5311818,281.5389157,16.50565755,7.322670917,-9.563407198,1.299325442,1.747347902,64.60891775
86.5,646.3913104,271.2477927,16.18027182,6.489641702,-9.798842105,1.233311126,1.471780271,60.75702769
87,576.5728154,261.9652287,15.79077326,5.955726016,-8.937117655,1.188806602,1.530901459,55.27417935
87.5,503.8785208,250.2040024,15.51727051,4.853297041,-7.523667079,1.35265561,1.824018283,50.84763667
88,436.8554247,237.2466979,14.89557609,4.077999493,-5.371011942,2.025314511,2.049207069,48.07796034
88.5,388.1614932,223.9123452,14.32733026,4.516770493,-2.45253296,2.50329617,2.336046913,45.44001469
89,356.9612996,210.5175067,14.55318708,4.369044373,0.541670912,2.716910543,2.661515984,43.80071689
89.5,335.9061279,198.6311304,14.47891757,3.65821926,2.311085134,2.216487084,2.336361049,42.33069489
90,322.098668,189.1519778,14.52263399,4.017093422,3.002170927,1.580330228,2.092591728,40.68844865
90.5,310.4535393,181.9365219,15.16049269,3.98432122,2.240096231,1.413467569,1.913450159,39.13248963
91,298.0845253,175.9302571,15.965599,2.487956282,0.626228117,1.428111447,2.128151057,37.27881351
91.5,286.3581171,170.4386559,16.18207134,1.534491371,-1.838169791,1.478587373,1.756249261,35.08039118
92,275.6262406,165.0345131,16.34863531,1.321860108,-4.862520915,2.139045374,1.394801265,34.15209254
92.5,263.8555359,159.3119834,16.39461075,0.71004244,-8.424472019,2.956543846,1.750863979,33.61437229
93,253.1577933,153.862961,16.4018818,-0.204777295,-11.92724903,3.072949382,2.023893816,32.17674989
93.5,242.9108769,148.1780227,15.32510923,-0.463629317,-15.91634532,3.062985849,2.178616316,31.78097814
94,236.275392,144.3347765,14.67981996,-0.65291678,-18.71142318,3.150197401,2.427988,31.46292235
94.5,245.2199867,151.3807924,13.6796307,-1.482793729,-24.47672926,3.099120732,3.58061449,34.59150871
95,108.9628549,68.07565458,5.009149096,-1.016398695,-13.05162718,1.222644051,1.815786909,16.35156655
